"","artist","num_words","num_unique_words","per_unique"
"700","aero-flynn",128,51,0.3984375
"701","aerodrone",211,104,0.492890995260663
"702","aeroplane",324,112,0.345679012345679
"703","aerosmith",55966,3879,0.0693099381767502
"704","aes-dana",1754,862,0.491448118586089
"705","aesma-daeva",1434,432,0.301255230125523
"706","aesop-rock",67156,12100,0.180177497170767
"707","aesthetic-perfection",902,360,0.399113082039911
"708","aesthetics-versus-architecture",2461,581,0.236082893132873
"709","aeternus",5601,1406,0.25102660239243
"710","aethersin",484,198,0.409090909090909
"711","aeveron",2560,862,0.33671875
"712","afasi-filthy",1902,620,0.325972660357518
"713","affiance",1483,444,0.299393122049899
"714","afflicted",1688,693,0.410545023696682
"715","afgan",532,145,0.272556390977444
"716","afi",40962,3122,0.0762169815926957
"717","afida-turner",209,70,0.334928229665072
"718","afilia-saga",68,57,0.838235294117647
"719","afonso-zeca",12636,2517,0.199192782526116
"720","africa-unite",5460,1372,0.251282051282051
"721","africanism-allstars",68,26,0.382352941176471
"722","afrika-bambaataa",2318,306,0.132010353753236
"723","afro-celt-sound-system",732,240,0.327868852459016
"724","afrobeta",297,135,0.454545454545455
"725","afrokjack",374,110,0.294117647058824
"726","afroman",30103,3748,0.124505863203003
"727","afromental",173,110,0.635838150289017
"728","after",497,230,0.462776659959759
"729","after-7",10957,912,0.0832344619877704
"730","after-arizona",301,95,0.315614617940199
"731","after-born",1505,395,0.262458471760797
"732","after-crying",1225,520,0.424489795918367
"733","after-forever",12454,1979,0.158904769551951
"734","after-midnight-project",1209,308,0.254755996691481
"735","after-the-burial",2458,849,0.34540276647681
"736","after-the-fire",374,120,0.320855614973262
"737","after-the-reign",808,284,0.351485148514851
"738","after-the-sirens",2269,737,0.324812692816219
"739","after-three-seconds",704,358,0.508522727272727
"740","afterhours",3576,895,0.250279642058166
"741","afterlife",1276,346,0.27115987460815
"742","aftermoon",537,181,0.337057728119181
"743","afterphase",1554,335,0.215572715572716
"744","afters",7753,843,0.108732103701793
"745","afterschool",3543,1102,0.311035845328817
"746","aftershock",1245,513,0.412048192771084
"747","afterworld",1933,545,0.281945162959131
"748","aftrhours",446,85,0.190582959641256
"749","afu-ra",19405,3627,0.18691059005411
"750","against-all-authority",15912,2429,0.152652086475616
"751","against-grace",198,64,0.323232323232323
"752","against-me",24571,3190,0.12982784583452
"753","against-the-current",8080,894,0.110643564356436
"754","agalloch",5112,1378,0.269561815336463
"755","agans-craig",3982,1091,0.273982923154194
"756","agastya",136,72,0.529411764705882
"757","agathocles",10794,1987,0.18408375023161
"758","agathodaimon",13321,2988,0.224307484423091
"759","age-9",1512,407,0.269179894179894
"760","age-aleksandersen",448,133,0.296875
"761","age-of-daze",519,123,0.236994219653179
"762","age-of-electric",3976,1002,0.252012072434608
"763","agent-51",5116,1142,0.223221266614543
"764","agent-felix",2434,616,0.253081347576007
"765","agent-orange",6211,1009,0.162453711157624
"766","agent-sparks",991,300,0.302724520686176
"767","agent-steel",7059,1678,0.237710723898569
"768","agents-of-chaos",532,239,0.449248120300752
"769","agents-of-good-roots",4072,1043,0.256139489194499
"770","agents-of-oblivion",1531,465,0.303723056825604
"771","ages-and-ages",3521,492,0.139733030389094
"772","aggresive-audio",180,99,0.55
"773","aggro",640,215,0.3359375
"774","aggro-berlin",5068,1226,0.241910023677979
"775","aggro-santos",3069,509,0.165852069077876
"776","agnes",11251,1085,0.0964358723669007
"777","agnes-carlsson",653,158,0.241960183767228
"778","agnes-obel",2978,647,0.217259905977166
"779","agnete",169,82,0.485207100591716
"780","agnetha-faltskog",13598,1493,0.109795558170319
"781","agnez-mo",897,239,0.26644370122631
"782","agnieszka-czachor",289,101,0.349480968858132
"783","agnostic-front",10875,1952,0.179494252873563
"784","agonoize",197,73,0.370558375634518
"785","agony-in-the-garden",1466,332,0.226466575716235
"786","agoraphobic-nosebleed",4191,1680,0.400858983536149
"787","agua-calientes",1674,678,0.405017921146953
"788","agua-de-annique",510,173,0.33921568627451
"789","aguilera",2530,507,0.200395256916996
"790","agust-d",1142,412,0.36077057793345
"791","agustus-thelefant",331,185,0.558912386706949
"792","agyness-deyn",297,160,0.538720538720539
"793","ah",667,299,0.448275862068966
"794","ah-sang",144,77,0.534722222222222
"795","ahi",327,138,0.422018348623853
"796","ahmaad-aspen",2652,510,0.192307692307692
"797","ahmad",7122,1247,0.175091266498175
"798","ahmad-jamal",904,290,0.320796460176991
"799","ahmed-chawki",285,177,0.621052631578947
"800","ahmed-soultan",275,170,0.618181818181818
"801","ahmet-kaya",352,186,0.528409090909091
"802","ahmir",2131,393,0.184420459877992
"803","ahn-jae-wook",403,126,0.312655086848635
"804","ahsan",165,70,0.424242424242424
"805","ahuzar",191,102,0.534031413612565
"806","ahzee",247,70,0.283400809716599
"807","ai-mei",18,6,0.333333333333333
"808","ai-otsuka",1279,565,0.44175136825645
"809","aicelle-santos",300,78,0.26
"810","aidan-knight",472,177,0.375
"811","aidan-mcdonald",242,106,0.43801652892562
"812","aidan-nolan",586,198,0.337883959044369
"813","aiden",11014,1177,0.106863991283821
"814","aiden-grimshaw",518,157,0.303088803088803
"815","aidi",148,71,0.47972972972973
"816","aidonia",3532,643,0.182049830124575
"817","aikakone",2054,782,0.380720545277507
"818","ailee",4722,1321,0.279754341380771
"819","aim-for-the-sunrise",549,201,0.366120218579235
"820","aimee-mann",33241,3225,0.0970187419151048
"821","aimer",1682,666,0.395957193816885
"822","aina",2984,897,0.300603217158177
"823","ainsley-smart",313,122,0.389776357827476
"824","aion",3161,868,0.274596646630813
"825","air",8039,1688,0.209976365219555
"826","air-bag-one",234,58,0.247863247863248
"827","air-dubai",860,298,0.346511627906977
"828","air-supply",39977,2454,0.0613852965455137
"829","air-this-side-of-caution",203,119,0.586206896551724
"830","air-traffic",1980,445,0.224747474747475
"831","airbag",607,221,0.364085667215815
"832","airborne-toxic-event",12730,1701,0.133621366849961
"833","airbourne",8382,1024,0.122166547363398
"834","airdate",681,181,0.265785609397944
"835","airlock",2804,547,0.195078459343795
"836","airondy",205,65,0.317073170731707
"837","airplay",489,184,0.376278118609407
"838","aisha",5321,1083,0.203533170456681
"839","aishah",187,71,0.379679144385027
"840","aiza-seguerra",2093,505,0.241280458671763
"841","aizat",453,168,0.370860927152318
"842","aizat-amdan",244,123,0.504098360655738
"843","aj-mclean",3369,515,0.152864351439596
"844","aj-rafael",4638,659,0.142087106511427
"845","aj-tracey",1673,516,0.30842797369994
"846","aja",476,63,0.132352941176471
"847","ajack",395,139,0.351898734177215
"848","ajattara",1081,771,0.71322849213691
"849","ajay-atul",223,109,0.488789237668161
"850","ajda-pekkan",539,354,0.656771799628942
"851","ajj",810,342,0.422222222222222
"852","ajr",2108,408,0.193548387096774
"853","ajs-nigrutin",364,225,0.618131868131868
"854","ajs-nigrutin-bvana",269,210,0.780669144981413
"855","ak-7",254,95,0.374015748031496
"856","akai-koen",128,78,0.609375
"857","akala",2293,570,0.248582642825992
"858","akari",323,92,0.284829721362229
"859","akash-king-rapper",383,240,0.626631853785901
"860","akasha",308,138,0.448051948051948
"861","akb48",8800,2205,0.250568181818182
"862","akcent",5428,558,0.10280029476787
